Variant,100,200,500,1000,2000,5000,10000
Xcode - REL,10,14,12,42,59,91,126
Xcode - DBG,12,16,29,44,64,93,140
Visual Studio - REL,111,26,44,57,74,111,163
Visual Studio - DBG,136,34,57,73,101,176,314
