Variant,1000,2000,5000,10000,20000,50000,100000
Xcode - REL,54,69,110,161,269,584,1151
Xcode - DBG,73,99,166,292,545,1303,2591
Visual Studio - REL,46,99,163,274,491,1158,2280
Visual Studio - DBG,194,165,238,429,656,1583,3109
