Variant,10000,20000,50000,100000,200000,500000,1000000,2000000,5000000,10000000,20000000,50000000,100000000
Xcode - REL,2,4,9,17,29,47,64,102,173,285,511,1204,2354
Xcode - DBG,2,5,9,18,29,50,69,101,176,300,545,1287,2517
Visual Studio - REL,1,2,5,10,16,32,45,70,123,185,316,718,1429
Visual Studio - DBG,2,3,7,11,20,38,56,84,131,214,376,864,1681
