Variant,10000,20000,50000,100000,200000,500000,1000000,2000000,5000000,10000000,20000000,50000000,100000000
Xcode - REL,1,1,1,1,1,1,1,1,1,1,1,1,1
Xcode - DBG,1,1,2,3,6,14,23,35,57,81,112,202,341
Visual Studio - REL,1,1,1,1,2,1,3,7,18,40,54,92,145
Visual Studio - DBG,1,1,3,6,13,25,37,54,77,105,154,299,546
