Variant,1000,2000,5000,10000,20000,50000,100000
Xcode - REL,106,149,293,542,1084,2635,5315
Xcode - DBG,148,244,566,1077,2144,5285,10723
Visual Studio - REL,106,211,489,915,1876,4862,9649
Visual Studio - DBG,122,244,580,1120,2229,5699,11503
