Variant,10000,20000,50000,100000,200000,500000,1000000,2000000,5000000,10000000
Xcode - REL,16,24,39,55,80,127,193,344,752,1453
Xcode - DBG,39,52,82,121,194,412,769,1490,3684,7250
Visual Studio - REL,12,19,32,48,64,98,143,226,491,927
Visual Studio - DBG,13,23,39,52,73,111,168,277,621,1186
